,blast,rmsd
331,4wxv_ligand_9,34.96056471011302
332,3ea9_ligand_2,31.467004057641656
333,7eyx_ligand_2,14.038710293328231
334,4epr_ligand_3,21.002770026832177
335,6i61_ligand_2,5.158848815895185
336,3smr_ligand_5,43.48211648827596
337,6r8t_ligand_4,51.23390071898052
338,1lii_ligand_8,21.96092705902159
339,5fo2_ligand_9,20.29779989993442
340,1dyc_ligand_3,11.349049173514809
341,2nxi_ligand_2,86.86425949952027
342,1h09_ligand_7,50.73790130045782
343,3ixl_ligand_7,21.06050321206629
344,2ftm_ligand_8,25.277664425338035
345,5lwv_ligand_7,40.071511520511194
346,3kug_ligand_4,27.461830543097044
347,1uio_ligand_5,7.332695434377002
348,5o11_ligand_6,17.45112207509878
349,2j9a_ligand_6,20.34125979941441
350,6bnv_ligand_1,231.70971045196472
351,6mop_ligand_3,24.6637736007848
352,4m53_ligand_2,34.30882698716606
353,1igi_ligand_8,47.33643949844817
354,5i7x_ligand_2,19.437310362558776
355,3oef_ligand_9,25.445649537227943
356,6pz4_ligand_4,33.16942788226889
357,3qxt_ligand_4,20.22201024548304
358,1at1_ligand_2,17.31645215245167
359,2oi0_ligand_9,27.783646973676706
360,6fh1_ligand_5,46.659090132111686
361,4eoi_ligand_5,60.222420083362394
362,1ni4_ligand_2,56.68198839767608
363,5i9u_ligand_4,38.05352077009432
364,3qnw_ligand_9,72.80612697593037
365,2dg9_ligand_8,26.180218908384038
366,4wyn_ligand_5,10.005112258055693
367,1jkh_ligand_4,49.30283331730831
368,6cdz_ligand_7,31.797901483431257
369,6e5p_ligand_5,121.74124536449553
370,1kgw_ligand_6,33.470830804835984
371,1rkp_ligand_3,27.07164742388692
372,4iib_ligand_5,68.78147859319881
373,3li0_ligand_9,45.694108839834776
374,2thf_ligand_1,32.451932008485
375,3l9j_ligand_4,8.530060748960254
376,4na0_ligand_2,33.88703341438886
377,5e1s_ligand_3,21.883129027262292
378,3t8o_ligand_1,28.208795622315012
379,3d0b_ligand_7,18.625313868719992
380,3dmj_ligand_8,37.80639685669232
381,1urp_ligand_1,53.633708472377705
382,2w1c_ligand_2,25.516516780658893
383,1ouf_ligand_3,22.773899960477475
384,4p58_ligand_8,24.261704913388666
385,4xsk_ligand_6,31.68285470092618
386,3i9p_ligand_9,29.303383083983096
387,6jdl_ligand_2,19.629653490036162
388,4ft3_ligand_4,10.327175243914404
389,5jzb_ligand_6,54.032272264268144
390,1gii_ligand_3,20.835204350649725
391,1a5a_ligand_9,26.01737318893231
392,5qa4_ligand_6,24.160294975434383
393,3guj_ligand_7,32.33213310315296
394,1leo_ligand_3,14.878217458194827
395,3ugc_ligand_2,5.142820550099557
396,1kyv_ligand_2,36.545214631159304
397,3p5y_ligand_5,18.47341068829287
398,5hd7_ligand_7,9.191605752766254
399,6g3a_ligand_3,31.336072023149296
400,1v1m_ligand_6,36.95078027157981
401,4kfa_ligand_4,40.97364498832914
402,1dik_ligand_8,15.320562368921058
403,1dhf_ligand_6,40.18144519462399
404,6kj7_ligand_8,20.028250710397014
405,5ey3_ligand_4,35.97197843560219
406,1eie_ligand_7,25.518221258253586
407,123l_ligand_9,11.630779969546326
408,1mai_ligand_3,25.805397225444196
409,1doj_ligand_7,14.62231502256218
410,1c0b_ligand_1,10.862702407439532
411,4pim_ligand_7,37.67534950689465
412,3okk_ligand_3,55.258663368132225
413,3e91_ligand_8,32.28934254658817
414,3dyc_ligand_5,61.109687064677864
415,2x25_ligand_1,25.704140382894145
416,7l6v_ligand_8,22.001899083212276
417,3u92_ligand_9,46.64817192845467
418,3eko_ligand_9,29.91222155463103
419,3bht_ligand_4,72.57067640875509
420,3e3c_ligand_3,7.742402788827539
421,3rpm_ligand_5,57.367504602634874
422,3su0_ligand_3,12.070278059289747
423,4tlt_ligand_4,5.1215523037454185
424,5mla_ligand_5,29.26332826428751
425,5ova_ligand_6,25.224793479325587
426,1oba_ligand_3,24.051590667251098
427,2h4e_ligand_9,30.060256756600186
428,3h78_ligand_5,2.465676867853261
429,4axe_ligand_7,37.86271527652383
430,1xas_ligand_3,28.549627685077116
431,2wtw_ligand_6,45.8326934018784
432,5mrn_ligand_2,22.486539852765254
433,1ndj_ligand_9,30.259799799112237
434,4grn_ligand_1,43.185964081157756
435,1bp6_ligand_8,25.280681075405457
436,4i3z_ligand_6,87.95256656013598
437,1a2c_ligand_8,11.927932571803884
438,6rzx_ligand_9,26.563103691440546
439,6olv_ligand_3,4.933558488266138
440,4ll0_ligand_2,55.53085403129007
441,6ssy_ligand_5,52.8568649921654
442,1sci_ligand_7,28.946635879998745
443,4hxm_ligand_6,5.093751604573089
444,4b3q_ligand_4,50.823845511446976
445,1alv_ligand_1,40.750357771907495
446,3q3g_ligand_1,109.92521150618724
447,1ab0_ligand_9,18.176236028997263
448,1wm0_ligand_8,33.44452467168806
449,4hbp_ligand_3,39.5406674612354
450,3f06_ligand_3,88.83936176594246
451,1dmn_ligand_4,15.959947930754064
452,1w1i_ligand_9,99.75226443200424
453,1a29_ligand_4,23.35633822612897
454,3nq7_ligand_1,35.41568909233047
455,1m6t_ligand_3,62.871819365541946
456,3i9p_ligand_7,29.941464915360733
457,3o9l_ligand_1,7.57599836873127
